토픽번호,토픽명,성격,순위,키워드,β 가중치
3,수퍼비전과 사례 자문,보호 요인(전문적),4,해야,0.0769
3,수퍼비전과 사례 자문,보호 요인(전문적),5,카카오톡,0.0769
3,수퍼비전과 사례 자문,보호 요인(전문적),6,혼자,0.0769
3,수퍼비전과 사례 자문,보호 요인(전문적),7,해요,0.0769
3,수퍼비전과 사례 자문,보호 요인(전문적),8,쌓이면서,0.0769
3,수퍼비전과 사례 자문,보호 요인(전문적),9,의무신고,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),10,비밀보장,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),11,너무,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),12,있어요,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),13,명상과,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),14,가장,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),15,관리를,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),16,어려운,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),17,도움이,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),18,받을,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),19,있었습니다,0.0096
3,수퍼비전과 사례 자문,보호 요인(전문적),20,집단수퍼비전이라도,0.0096
4,동료 지지 네트워크,보호 요인(관계적),1,너무,0.2197
4,동료 지지 네트워크,보호 요인(관계적),2,됩니다,0.1136
4,동료 지지 네트워크,보호 요인(관계적),3,있어요,0.1136
4,동료 지지 네트워크,보호 요인(관계적),4,쌓이면서,0.0606
4,동료 지지 네트워크,보호 요인(관계적),5,관리를,0.0606
4,동료 지지 네트워크,보호 요인(관계적),6,가장,0.0606
4,동료 지지 네트워크,보호 요인(관계적),7,역전이,0.0606
4,동료 지지 네트워크,보호 요인(관계적),8,더욱,0.0606
4,동료 지지 네트워크,보호 요인(관계적),9,어려운,0.0606
4,동료 지지 네트워크,보호 요인(관계적),10,비밀보장,0.0076
4,동료 지지 네트워크,보호 요인(관계적),11,집단수퍼비전이라도,0.0076
4,동료 지지 네트워크,보호 요인(관계적),12,명상과,0.0076
4,동료 지지 네트워크,보호 요인(관계적),13,도움이,0.0076
4,동료 지지 네트워크,보호 요인(관계적),14,자살위기,0.0076
4,동료 지지 네트워크,보호 요인(관계적),15,받을,0.0076
4,동료 지지 네트워크,보호 요인(관계적),16,있었습니다,0.0076
4,동료 지지 네트워크,보호 요인(관계적),17,의무신고,0.0076
4,동료 지지 네트워크,보호 요인(관계적),18,중요한,0.0076
4,동료 지지 네트워크,보호 요인(관계적),19,해요,0.0076
4,동료 지지 네트워크,보호 요인(관계적),20,있으면,0.0076
5,개인적 자기 돌봄,보호 요인(개인적),1,소진,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),2,혼자,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),3,있으면,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),4,중요한,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),5,도움이,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),6,있었습니다,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),7,역전이,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),8,관리를,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),9,너무,0.0825
5,개인적 자기 돌봄,보호 요인(개인적),10,있어요,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),11,해요,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),12,꾸준히,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),13,가장,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),14,받을,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),15,자살위기,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),16,명상과,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),17,집단수퍼비전이라도,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),18,상황에서,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),19,증거로,0.0103
5,개인적 자기 돌봄,보호 요인(개인적),20,비밀보장,0.0103
6,지역적 특수성과 인프라 한계,맥락적 조건,1,이동피로가,0.1351
6,지역적 특수성과 인프라 한계,맥락적 조건,2,대구경북,0.1351
6,지역적 특수성과 인프라 한계,맥락적 조건,3,심해요,0.1351
6,지역적 특수성과 인프라 한계,맥락적 조건,4,지역,0.1351
6,지역적 특수성과 인프라 한계,맥락적 조건,5,해야,0.0721
6,지역적 특수성과 인프라 한계,맥락적 조건,6,어려운,0.0721
6,지역적 특수성과 인프라 한계,맥락적 조건,7,더욱,0.0721
6,지역적 특수성과 인프라 한계,맥락적 조건,8,너무,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,9,있어요,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,10,자살위기,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,11,집단수퍼비전이라도,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,12,비밀보장,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,13,명상과,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,14,관리를,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,15,해요,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,16,의무신고,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,17,쌓이면서,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,18,있었습니다,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,19,중요한,0.009
6,지역적 특수성과 인프라 한계,맥락적 조건,20,꾸준히,0.009
7,의미 재구성과 성장,성장 지향성,1,집단수퍼비전이라도,0.1271
7,의미 재구성과 성장,성장 지향성,2,꾸준히,0.1271
7,의미 재구성과 성장,성장 지향성,3,명상과,0.1271
7,의미 재구성과 성장,성장 지향성,4,받을,0.1271
7,의미 재구성과 성장,성장 지향성,5,있었습니다,0.0678
7,의미 재구성과 성장,성장 지향성,6,해요,0.0678
7,의미 재구성과 성장,성장 지향성,7,수퍼비전,0.0678
7,의미 재구성과 성장,성장 지향성,8,있으면,0.0678
7,의미 재구성과 성장,성장 지향성,9,너무,0.0085
7,의미 재구성과 성장,성장 지향성,10,쌓이면서,0.0085
7,의미 재구성과 성장,성장 지향성,11,됩니다,0.0085
7,의미 재구성과 성장,성장 지향성,12,증거로,0.0085
7,의미 재구성과 성장,성장 지향성,13,관리를,0.0085
7,의미 재구성과 성장,성장 지향성,14,어려운,0.0085
7,의미 재구성과 성장,성장 지향성,15,자살위기,0.0085
7,의미 재구성과 성장,성장 지향성,16,비밀보장,0.0085
7,의미 재구성과 성장,성장 지향성,17,가장,0.0085
7,의미 재구성과 성장,성장 지향성,18,있어요,0.0085
7,의미 재구성과 성장,성장 지향성,19,중요한,0.0085
7,의미 재구성과 성장,성장 지향성,20,의무신고,0.0085
